Project,Train,Baseload Bcf/d,Baseload MTPA,Peak Bcf/d,Peak MTPA,Status,In-service Date,Commercial Service Date,State,FTA Bcf/d,FTA MTPA,FTA Docket,Non-FTA Bcf/d,Non-FTA MTPA,Non-FTA Docket,FERC Bcf/d,FERC MTPA,FERC Docket,Project Type,Operator,Pipeline Type,Design Bcf/d per train,Design MTPA per train,Trains,Design Bcf/d,Design MTPA
Sabine Pass,Train 1,0.5927547945205479,4.5,0.7588767123287671,5.761143118617275,Commercial operation,2016-02-01 00:00:00,2016-05-01 00:00:00,LA,0.76,5.77,10-85-LNG/14-92-LNG/19-125-LNG,0.76,5.77,10-111-LNG/15-63-LNG,0.7589041095890411,5.761351109632064,PF10-24/CP11-72/CP19-515,Brownfield,Cheniere Energy,Existing / construction,,,,,
Sabine Pass,Train 2,0.5927547945205479,4.5,0.7588767123287671,5.761143118617275,Commercial operation,2016-08-01 00:00:00,2016-10-01 00:00:00,LA,0.76,5.77,10-85-LNG/14-92-LNG/19-125-LNG,0.76,5.77,10-111-LNG/15-63-LNG,0.7589041095890411,5.761351109632064,PF10-24/CP11-72/CP19-515,Brownfield,Cheniere Energy,Existing / construction,,,,,
Sabine Pass,Train 3,0.5927547945205479,4.5,0.7588767123287671,5.761143118617275,Commercial operation,2017-01-01 00:00:00,2017-03-01 00:00:00,LA,0.76,5.77,10-85-LNG/14-92-LNG/19-125-LNG,0.76,5.77,10-111-LNG/15-63-LNG,0.7589041095890411,5.761351109632064,PF10-24/CP11-72/CP19-515,Brownfield,Cheniere Energy,Existing / construction,,,,,
Sabine Pass,Train 4,0.5927547945205479,4.5,0.7588767123287671,5.761143118617275,Commercial operation,2017-08-01 00:00:00,2017-10-01 00:00:00,LA,0.76,5.77,10-85-LNG/14-92-LNG/19-125-LNG,0.76,5.77,10-111-LNG/15-63-LNG,0.7589041095890411,5.761351109632064,PF10-24/CP11-72/CP19-515,Brownfield,Cheniere Energy,Existing / construction,,,,,
Sabine Pass,Train 5,0.593,4.5,0.7588767123287671,5.761143118617275,Commercial operation,2018-11-01 00:00:00,2019-03-01 00:00:00,LA,0.76,5.77,13-30-LNG/13-42-LNG/13-121-LNG/19-125-LNG,0.76,5.77,13-30-LNG/13-42-LNG/13-121-LNG,0.7589041095890411,5.761351109632064,"PF13-8/CP13-552/CP13-553/CP19-515
",Brownfield,Cheniere Energy,Existing / construction,,,,,
Sabine Pass,Train 6,0.593,4.5,0.7588767123287671,5.761143118617275,Commercial operation,2021-12-01 00:00:00,2022-02-01 00:00:00,LA,0.76,5.77,13-30-LNG/13-42-LNG/13-121-LNG/19-125-LNG,0.76,5.77,13-30-LNG/13-42-LNG/13-121-LNG,0.7589041095890411,5.761351109632064,"PF13-8/CP13-552/CP13-553/CP19-515
",Brownfield,Cheniere Energy,Existing / construction,,,,,
Cove Point,Train 1,0.6915472602739726,5.25,0.757408904109589,5.75,Commercial operation,2018-03-01 00:00:00,2018-04-01 00:00:00,MD,1.0,7.82^,11-115-LNG,0.77,5.75^,11-128-LNG,0.757408904109589,5.75,PF12-16/ CP13-113,Brownfield,Berkshire Hathaway BHE GT&S,Existing / construction,,,,,
Elba Island,Trains 1-5A,0.1646541095890411,1.25,0.18,1.3665009671582165,Commercial operation,2019-09-01 00:00:00,2019-09-01 00:00:00,GA,0.25,2.00^,12-54-LNG,0.18,1.25^,12-100-LNG,0.18,1.3665009671582165,PF13-3/CP14-103,Brownfield,Kinder Morgan,Existing / construction,,,,,
Elba Island,Trains 6-10A,0.1646541095890411,1.25,0.18,1.3665009671582127,Commercial operation,2020-05-01 00:00:00,2020-08-01 00:00:00,GA,0.25,2.00^,12-54-LNG,0.18,1.25^,12-100-LNG,0.18,1.3665009671582127,PF13-3/CP14-103,Brownfield,Kinder Morgan,Existing / construction,,,,,
Corpus Christi,Train 1,0.596,4.524636535701657,0.7992328767123288,6.067513883400237,Commercial operation,2018-12-01 00:00:00,2019-03-01 00:00:00,TX,0.8,6.07,12-99-LNG/19-124-LNG,0.8,6.07,12-97-LNG,0.7992328767123288,6.067513883400237,PF12-3/ CP12-507/CP19-514,Greenfield,Cheniere Energy,Existing / construction,,,,,
Corpus Christi,Train 2,0.596,4.524636535701657,0.7992328767123288,6.067513883400237,Commercial operation,2019-07-01 00:00:00,2019-08-01 00:00:00,TX,0.8,6.07,12-99-LNG/19-124-LNG,0.8,6.07,12-97-LNG,0.7992328767123288,6.067513883400237,PF12-3/ CP12-507/CP19-514,Greenfield,Cheniere Energy,Existing / construction,,,,,
Corpus Christi,Train 3,0.596,4.524636535701657,0.7992328767123288,6.067513883400237,Commercial operation,2020-12-01 00:00:00,2021-03-01 00:00:00,TX,0.8,6.07,12-99-LNG/19-124-LNG,0.8,6.07,12-97-LNG,0.7992328767123288,6.067513883400237,PF12-3/ CP12-507/CP19-514,Greenfield,Cheniere Energy,Existing / construction,,,,,
Cameron,Train 1B,0.5927547945205479,4.5,0.66,4.99,Commercial operation,2019-05-01 00:00:00,2019-07-01 00:00:00,LA,0.7050228310502283,4.98^,11-145-LNG/14-204-LNG,0.7050228310502283,4.98^,11-162-LNG/15-67-LNG,0.66,4.99,PF12-13/ CP13-25,Brownfield,Sempra LNG,Existing / construction,,,,,
Cameron,Train 2B,0.5927547945205479,4.5,0.66,4.99,Commercial operation,2019-12-01 00:00:00,2020-03-02 00:00:00,LA,0.7050228310502283,4.98^,11-145-LNG/14-204-LNG,0.7050228310502283,4.98^,11-162-LNG/15-67-LNG,0.66,4.99,PF12-13/ CP13-25,Brownfield,Sempra LNG,Existing / construction,,,,,
Cameron,Train 3B,0.5927547945205479,4.5,0.66,4.99,Commercial operation,2020-08-01 00:00:00,2020-08-02 00:00:00,LA,0.7050228310502283,4.98^,11-145-LNG/14-204-LNG,0.7050228310502283,4.98^,11-162-LNG/15-67-LNG,0.66,4.99,PF12-13/ CP13-25,Brownfield,Sempra LNG,Existing / construction,,,,,
Freeport,Train 1,0.6586164383561645,5,0.7929741917808218,6.02,Commercial operation,2019-09-01 00:00:00,2019-11-01 00:00:00,TX,0.793333333,6.02,10-160-LNG/12-06-LNG,0.793333333,6.02,10-161-LNG/11-161-LNG/16-108-LNG/21-98-LNG,0.79,6.02,PF11-2/CP12-509/CP15-518-000/CP21-470-000,Brownfield,"Freeport LNG Development, L.P.",Existing / construction,,,,,
Freeport,Train 2,0.6586164383561645,5,0.7929741917808218,6.02,Commercial operation,2019-12-01 00:00:00,2020-01-01 00:00:00,TX,0.793333333,6.02,10-160-LNG/12-06-LNG,0.79333333333,6.02,10-161-LNG/11-161-LNG/16-108-LNG/21-98-LNG,0.79,6.02,PF11-2/CP12-509/CP15-518-000/CP21-470-000,Brownfield,"Freeport LNG Development, L.P.",Existing / construction,,,,,
Freeport,Train 3,0.6586164383561645,5,0.7929741917808218,6.02,Commercial operation,2020-03-01 00:00:00,2020-04-01 00:00:00,TX,0.79333333333,6.02,10-160-LNG/12-06-LNG,0.7933333333,6.02,10-161-LNG/11-161-LNG/16-108-LNG/21-98-LNG,0.79,6.02,PF11-2/CP12-509/CP15-518-000/CP21-470-000,Brownfield,"Freeport LNG Development, L.P.",Existing / construction,,,,,
Calcasieu Pass,Trains 1-9C,0.6586164383561645,5,0.7903397260273972,6,Commercial operation,2022-03-01 00:00:00,2022-05-01 00:00:00,LA,0.88,6.2^,13-69-LNG/14-88-LNG/15-25-LNG,0.85,6.00^,13-69-LNG/14-88-LNG/15-25-LNG,0.7903397260273972,6,CP15-550,Greenfield,"Venture Global LNG, Inc.",Existing / construction,,,,,
Calcasieu Pass,Trains 10-18C,0.6586164383561645,5,0.7903397260273972,6,Commercial operationD,2022-09-01 00:00:00,2023-10-01 00:00:00,LA,0.88,6.2^,13-69-LNG/14-88-LNG/15-25-LNG,0.8493,6.00^,13-69-LNG/14-88-LNG/15-25-LNG,0.7903397260273972,6,CP15-550,Greenfield,"Venture Global LNG, Inc.",Existing / construction,,,,,
Plaquemines LNG Phase 1,Trains 1-18F,1.317232876712329,9.9,1.5806794520547944,12,Commissioning,2024-12-01 00:00:00,,LA,1.89,13.33^,16-28-LNG,1.89,13.33^,16-28-LNG,1.7,12.00^,CP17-66-000 and CP17-67-000,Greenfield,Venture Global LNG,Existing / construction,,,,,
Plaquemines LNG Phase 2,Trains 19-36F,1.317232876712329,9.9,1.5806794520547944,12,Under construction,2025-09-01 00:00:00,,LA,1.96,13.82,16-28-LNG,1.51,10.67^,16-28-LNG,1.7,12.00^,CP17-66-000 and CP17-67-000,Greenfield,Venture Global LNG,Existing / construction,,,,,
Corpus Christi Liquefaction Stage 3,Trains 1-7G,1.31723,10.00^,1.50832,11.45^,Commissioning,2025-02-01 00:00:00,,TX,1.59,11.45^,18-78-LNG,1.59,11.45^,18-78-LNG,1.50823,11.45^,CP18-512/CP18-514,Brownfield,"Corpus Christi Liquefaction Stage III, LLC",Existing / construction,,,,,
Golden Pass,Train 1E,0.6757990867579909,5.2,0.795,6.033333333333334,Under construction,1H2026,,TX,0.8557077625570776,6.03^,12-88 -LNG,0.8557077625570776,6.03^,12-156-LNG,0.795,6.033333333333334,CP14-517-000/CP19-20-000/CP20-459,Brownfield,"Qatar Petroleum, ExxonMobil",Existing / construction,,,,,
Golden Pass,Train 2E,0.6757990867579909,5.2,0.795,6.033333333333334,Under construction,2H2026,,TX,0.8557077625570776,6.03^,12-88 -LNG,0.8557077625570776,6.03^,12-156-LNG,0.795,6.033333333333334,CP14-517-000/CP19-20-000/CP20-459,Brownfield,"Qatar Petroleum, ExxonMobil",Existing / construction,,,,,
Golden Pass,Train 3E,0.6757990867579909,5.2,0.795,6.033333333333334,Under construction,1H2027,,TX,0.8557077625570776,6.03^,12-88 -LNG,0.8557077625570776,6.03^,12-156-LNG,0.795,6.033333333333334,CP14-517-000/CP19-20-000/CP20-459,Brownfield,"Qatar Petroleum, ExxonMobil",Existing / construction,,,,,
Port Arthur LNG Phase 1,Trains 1-2,1.5806794520547944,12,1.7782643835616438,13.5^,Under construction,2027,,TX,1.91,13.5^,15-53-LNG/18-162-LNG,1.91,13.5^,15-96-LNG,1.7782643835616438,13.5^,CP17-20-000,Greenfield,Sempra Energy,Existing / construction,,,,,
Rio Grande LNG Phase 1,Train 1,0.72,5.4,0.7727766210045662,5.866666666666667,Under construction,2027,,TX,0.72,5.40^,15-190-LNG,0.72,5.40^,15-190-LNG,0.7727766210045662,5.866666666666667,CP16-454/CP16-455,Greenfield,NextDecade Corporation,Existing / construction,,,,,
Rio Grande LNG Phase 1,Train 2,0.72,5.4,0.7727766210045662,5.866666666666667,Under construction,2027,,TX,0.72,5.40^,15-190-LNG,0.72,5.40^,15-190-LNG,0.7727766210045662,5.866666666666667,CP16-454/CP16-455,Greenfield,NextDecade Corporation,Existing / construction,,,,,
Rio Grande LNG Phase 1,Train 3,0.72,5.4,0.7727766210045662,5.866666666666667,Under construction,2028,,TX,0.72,5.40^,15-190-LNG,0.72,5.40^,15-190-LNG,0.7727766210045662,5.866666666666667,CP16-454/CP16-455,Greenfield,NextDecade Corporation,Existing / construction,,,,,
Woodside Louisiana LNG Phase 1,Trains 1-3,0.7271125479452055,5.5200000000000005,2.181337643835617,16.56,Under constructionH,2029,,LA,2.326520547945205,16.56^,16-144-LNG,2.326520547945205,16.56^,16-144-LNG,2.181337643835617,16.56,CP17-117-000 and CP17-180-000,Greenfield,Woodside Energy,Existing / construction,,,,,
Cameron LNG Train 4,,,,,,"Preliminary FEED on a new design of one larger-size train, rather than 2 trains as was initially proposed",,,LA,1.41,9.97^,15-36-LNG,1.41,9.97^, 15-90-LNG,1.41,9.97,CP15-560-000,Brownfield,"Cameron LNG, LLC",Approved,0.8891321917808219,6.75^,1.0,0.8891321917808219,6.75^
Lake Charles LNG,,,,,,"Completed FEED, reviewed EPC tenders, signed a preliminary EPC contract with a consortium led by Technip Energies and KBR, FID targeted for 4Q2025",,,LA,1.9732148493150683,15.0^,11-59-LNG/13-04-LNG,2.0,15.0^,11-59-LNG/13-04-LNG,2.166848082191781,16.45,CP14-120/PF12-8,Brownfield,"Energy Transfer, LP",Approved,0.7244780821917809,5.5,3.0,2.1734342465753427,16.5^
Lake Charles LNG (additional DOE application),,,,,,"Completed FEED, reviewed EPC tenders, signed a preliminary EPC contract with a consortium led by Technip Energies and KBR, FID targeted for 4Q2025",,,LA,0.325580450136986,2.4717000000000002,16-109-LNG/16-110-LNG,0.33,2.4717000000000002,16-109-LNG/16-110-LNG,,,CP14-120/PF12-8,Brownfield,"Energy Transfer, LP",Approved,,Note A,,,Note A
Woodside Louisiana LNG (formerly Driftwood LNG) Phase 2,,,,,,"Completed FEED, awarded EPC contract to Bechtel Energy, issued limited notice to proceed to commence construction, FID TBA",,,LA,1.5510136986301368,11.04^,16-144-LNG,1.5510136986301368,11.04^,16-144-LNG,1.454225095890411,11.04^,CP17-117-000 and CP17-180-000,Greenfield,Woodside Energy,Approved,0.7271125479452055,5.5200000000000005,2.0,1.454225095890411,11.04^
Freeport LNG Train 4,,,,,,"Completed FEED, awarded EPC contract",,,TX,0.42,3.19,12-06-LNG ,0.7200000000000001,5.1^,18-26-LNG,0.6717887671232877,5.1,CP17-470-000,Brownfield,Freeport LNG,Approved,0.6717887671232877,5.1,1.0,0.6717887671232877,5.1^
Texas LNG,,,,,,"Completed FEED, selected engineering, procurement, and construction (EPC) contractor. FID targeted for 2025.",,,TX,0.56,4.0^,15-62-LNG,0.56,4.0^,15-62-LNG,0.56,4,CP16-116,Greenfield,"Glenfarne Energy Transition, LLC",Approved,0.28,2,2.0,0.56,4
Rio Grande LNG (Phase 2),,,,,,"Completed FEED, awarded EPC contract to Bechtel Energy, FID reached for Phase 1 in July 2023",,,TX,1.44,10.8^,15-190-LNG,1.44,10.8^,15-190-LNG,1.44,10.8,"CP16-454, CP16-455",Greenfield,NextDecade Corporation,Approved,0.72,5.4,2.0,1.44,10.8
Gulf LNG,,,,,,Undergoing FEED,,,MS,1.5,11.5^,12-47-LNG,1.53,11.615257395000002,12-101-LNG,1.5,10.85,CP15-521-000,Brownfield,"Gulf LNG Liquefaction Company, LLC",Approved,0.7145988356164383,5.425,2.0,1.4291976712328769,10.85^
Delfin FLNG,,,,,,Completed FEED. FID targeted for 2025. Project was granted DOE authorization for a 5-year extension to 2029 to commence operations. ,,,Offshore/Floating (GOM),1.8,13.0^,13-129-LNG ,1.8,13.0+,13-147-LNG ,1.8,13.2,FERC CP15-490; MARAD,Floating,Fairwood Group,Approved,0.395,3,4.0,1.58,12
Alaska LNG,,,,,,Proposed,,,AK,2.55,20.0^,14-96-LNG,2.55,20.0^,14-96-LNG,2.55,20, CP17-178-000,Greenfield,Alaska Gasline Development Corporation (AGDC),Approved,0.85,6.666666666666667,3.0,2.55,20
Port Arthur (Phase 2),,,,,,"Completed FEED, awarded EPC contract to Bechtel Energy, FID TBA",,,TX,1.91,13.5^,20-23-LNG,1.91,13.5^,20-23-LNG,1.91,13.5^,CP20-55-000,Greenfield,Sempra Energy,Approved,0.7903397260273972,6,2.0,1.5806794520547944,13.5^
